palabra;valencia;pals
a bordo;1;
abandona;-2;
abandonaba;-2;
abandonada;-2;
abandonadas;-2;
abandonado;-2;
abandonados;-2;
abandonamos;-2;
abandonan;-2;
abandonando;-2;
abandonar;-2;
abandonares;-2;
abandonas;-2;
abandoné;-2;
abandono;-2;
abandonó;-2;
abandonos;-2;
abate;-2;
abatemos;-2;
abaten;-2;
abater;-2;
abates;-2;
abatí;-2;
abatía;-2;
abatida;-2;
abatidas;-2;
abatido;-2;
abatidos;-2;
abatiendo;-2;
abatió;-2;
abatir;-2;
abato;-2;
aborrece;-3;
aborrecemos;-3;
aborrecen;-3;
aborrecer;-3;
aborreceres;-3;
aborreces;-3;
aborrecí;-3;
aborrecía;-3;
aborrecible;-3;
aborrecibles;-3;
aborrecida;-3;
aborrecidas;-3;
aborrecido;-3;
aborrecidos;-3;
aborreciendo;-3;
aborreció;-3;
aborrecir;-3;
aborreco;-3;
aborrezca;-3;
aborrezco;-3;
abraza;2;
abrazas;2;
abrazo;2;
abrazos;2;
abrazoses;2;
abriga;2;
abrigas;2;
abrigo;2;
abrigos;2;
absolve;2;
absolvemos;2;
absolven;2;
absolver;2;
absolveres;2;
absolves;2;
absolví;2;
absolvía;2;
absolvida;2;
absolvidas;2;
absolvido;2;
absolvidos;2;
absolvienda;2;
absolviendas;2;
absolviendo;2;
absolviendos;2;
absolvió;2;
absolvir;2;
absolvo;2;
absorbe;1;
absorbemos;1;
absorben;1;
absorber;1;
absorbes;1;
absorbí;1;
absorbía;1;
absorbida;1;
absorbidas;1;
absorbido;1;
absorbidos;1;
absorbiendo;1;
absorbió;1;
absorbir;1;
absorbo;1;
absorta;1;
absortas;1;
absorto;1;
absortos;1;
absueltos;2;
absueltoses;2;
absuelve;2;
absuelves;2;
aburre;-2;
aburremos;-2;
aburren;-2;
aburrer;-2;
aburres;-2;
aburrí;-2;
aburría;-2;
aburrida;-2;
aburridas;-2;
aburrido;-2;
aburridos;-2;
aburriendo;-2;
aburrió;-2;
aburrir;-2;
aburrires;-2;
aburro;-2;
abusa;-3;
abusaba;-3;
abusada;-3;
abusadas;-3;
abusado;-3;
abusados;-3;
abusamos;-3;
abusan;-3;
abusando;-3;
abusar;-3;
abusas;-3;
abusé;-3;
abusiva;-3;
abusivas;-3;
abusivo;-3;
abusivos;-3;
abuso;-3;
abusó;-3;
abusos;-3;
abusoses;-3;
acaparador;-2;
acaparadores;-2;
acaparamienta;-2;
acaparamientas;-2;
acaparamiento;-2;
acaparamientos;-2;
accidental;-2;
accidentales;-2;
accidentalmente;-2;
accidentalmentes;-2;
accidente;-2;
accidentes;-2;
accidenteses;-2;
acepta;1;
aceptaba;1;
aceptada;1;
aceptadas;1;
aceptado;1;
aceptados;1;
aceptamos;1;
aceptan;1;
aceptando;1;
aceptar;1;
aceptares;1;
aceptas;1;
acepté;1;
acepto;1;
aceptó;1;
aceptos;1;
aclamaciones;2;
aclamacioneses;2;
aclara;2;
aclaras;2;
aclaro;2;
aclaros;2;
acosa;-2;
acosaba;-2;
acosada;-2;
acosadas;-2;
acosado;-2;
acosados;-2;
acosamos;-2;
acosan;-2;
acosando;-2;
acosar;-2;
acosas;-2;
acosé;-2;
acoso;-2;
acosó;-2;
acosos;-2;
activa;1;
activas;1;
activo;1;
activos;1;
acuchilla;-2;
acuchillaba;-2;
acuchillada;-2;
acuchilladas;-2;
acuchillado;-2;
acuchillados;-2;
acuchillamos;-2;
acuchillan;-2;
acuchillando;-2;
acuchillar;-2;
acuchillas;-2;
acuchillé;-2;
acuchillo;-2;
acuchilló;-2;
acuerda;1;
acuerdas;1;
acuerdo;1;
acuerdos;1;
acusa;-2;
acusaba;-2;
acusación;-2;
acusaciones;-2;
acusaciónes;-2;
acusacioneses;-2;
acusada;-2;
acusadas;-2;
acusado;-2;
acusados;-2;
acusamos;-2;
acusan;-2;
acusanda;-2;
acusandas;-2;
acusando;-2;
acusandos;-2;
acusar;-2;
acusares;-2;
acusas;-2;
acusé;-2;
acuso;-2;
acusó;-2;
acusos;-2;
adecua;1;
adecuaba;1;
adecuada;1;
adecuadas;1;
adecuado;1;
adecuados;1;
adecuamos;1;
adecuan;1;
adecuando;1;
adecuar;1;
adecuas;1;
adecué;1;
adecuo;1;
adecuó;1;
admira;3;
admiraba;3;
admirada;3;
admiradas;3;
admirado;3;
admirados;3;
admiramos;3;
admiran;3;
admirando;3;
admirar;3;
admirares;3;
admiras;3;
admirativa;3;
admirativas;3;
admirativo;3;
admirativos;3;
admiré;3;
admiro;3;
admiró;3;
admiros;3;
admite;-1;
admitemos;-1;
admiten;-1;
admiter;-1;
admites;-1;
admití;-1;
admitía;-1;
admitida;-1;
admitidas;-1;
admitido;-1;
admitidos;-1;
admitiendo;-1;
admitió;-1;
admitir;-1;
admitires;-1;
admito;-1;
adoctrina;-2;
adoctrinaba;-2;
adoctrinada;-2;
adoctrinadas;-2;
adoctrinado;-2;
adoctrinados;-2;
adoctrinadoses;-2;
adoctrinamos;-2;
adoctrinan;-2;
adoctrinando;-2;
adoctrinar;-2;
adoctrinares;-2;
adoctrinas;-2;
adoctriné;-2;
adoctrino;-2;
adoctrinó;-2;
adoctrinos;-2;
adopta;1;
adoptaba;1;
adoptada;1;
adoptadas;1;
adoptado;1;
adoptados;1;
adoptamos;1;
adoptan;1;
adoptando;1;
adoptar;1;
adoptares;1;
adoptas;1;
adopté;1;
adopto;1;
adoptó;1;
adoptos;1;
adora;3;
adoraba;3;
adorable;3;
adorables;3;
adorada;3;
adoradas;3;
adorado;3;
adorados;3;
adoramos;3;
adoran;3;
adorando;3;
adorar;3;
adorares;3;
adoras;3;
adoré;3;
adoro;3;
adoró;3;
adoros;3;
adverte;-2;
advertemos;-2;
adverten;-2;
advertencia;-3;
advertencias;-3;
advertenciases;-3;
advertencio;-3;
advertencios;-3;
adverter;-2;
advertes;-2;
advertí;-2;
advertía;-2;
advertida;-2;
advertidas;-2;
advertido;-2;
advertidos;-2;
advertiendo;-2;
advertió;-2;
advertir;-2;
advertires;-2;
adverto;-2;
advierte;-2;
adviertes;-2;
afable;2;
afables;2;
afecta;-1;
afectaba;-1;
afectada;-1;
afectadas;-1;
afectado;-1;
afectados;-1;
afectamos;-1;
afectan;-1;
afectando;-1;
afectar;-1;
afectas;-1;
afecté;-1;
afecto;3;
afectó;-1;
afectos;3;
aficiona;2;
aficionaba;2;
aficionada;2;
aficionadas;2;
aficionado;2;
aficionados;2;
aficionamos;2;
aficionan;2;
aficionando;2;
aficionar;2;
aficionas;2;
aficioné;2;
aficiono;2;
aficionó;2;
afila;1;
afilaba;1;
afilada;1;
afiladas;1;
afilado;1;
afilados;1;
afilamos;1;
afilan;1;
afilando;1;
afilar;1;
afilas;1;
afilé;1;
afilo;1;
afiló;1;
afirmativamente;2;
afirmativamentes;2;
aflige;-1;
afligemos;-1;
afligen;-1;
afliger;-1;
afliges;-1;
afligí;-1;
afligía;-1;
afligida;-1;
afligidas;-1;
afligido;-1;
afligidos;-1;
afligiendo;-1;
afligió;-1;
afligir;-1;
afligo;-1;
afortuna;2;
afortunaba;2;
