titulo,estilo,artista,id,estrofa
Punto y Seguido,rap,ZPU,id_1,"Que si la vida es un intento
Yo le estoy poniendo todo mi esfuerzo
Trabajándome y echándole el resto (Quiebro)
Sólo encuentro sentido, mejorando por dentro
Escribiendo mi punto y seguido"
La banda dominguera,pop,Tatiana,id_10,"Tengo una banda dominguera que siempre toca en la plaza
Con una tuba grandota y unos platillos de lata
El perro que mueve la cola, el niño quiere un bizcocho
La abuela vende galletas y el cura pide devotos
Ay que el domingo me ensucian la plaza
Pensar que el domingo es para descansar
Y yo que vivo juntando papeles
Me voy a quejar a la municipalidad"
Primavera,rap,ZPU,id_15,"Ven hacia mis brazos, abre mi nevera
Coge lo que quieras, tú no eres cualquiera (Sí)
Quiero compartir mi carretera contigo (Uh)
Quiero que me sientas entera si te digo (Si te digo)
Ven hacia mis brazos, abre mi nevera
Coge lo que quieras, tú eres primavera (Sí)
Quiero compartir mi carretera contigo (Uh)
Quiero que me entiendas entera si te digo"
Round 1,rap,C-Kan,id_17,"Ustedes saben quienes somos (¡Hey!)
Marihuanos en la calle andamos (Oye)
Deternos que nos digan como (Jaja)
Para que no se les haga extraño
Así somos, por ahí vamos"
Te Vas Amor,pop,Antony Santos,id_26,"Pero recuerda nadie perfecto y tu lo veras
Por la aventura que tu ya tendrás
Será tu cárcel y nunca saldrás
Vete olvidando de eso que deja y cambiará
Más de mil cosas mejores tendrás
Pero un cariño sincero jamás"
María,rap,Almighty,id_30,"Yo derramaría perfume
Sobre tus pies como hizo María
Tú vales más que el nardo puro
Y sin ti no sería
Yo derramaría perfume
Sobre tus pies como hizo María
Tú vales más que el nardo puro
Y sin ti no sería"
Aprendizaje,rap,Porta,id_36,"Extraviar la ilusión no conduce a nada
Aprender es aceptar que cuando llegue el fin
Me habré dejado el alma en el camino
Por ser fiel a mi ambición
Por volcar mi corazón
Con la utopía de ser yo"
Holocausto,rock,Mnica Naranjo,id_37,"Sorda nana sin instrumental
No hay salida a tanta ira
Ruego a todo lo que más quiero
No teñir mis manos más
Ayúdame
No me salves ante esta adversidad"
From Darkness With Love,rap,Cecilio G.,id_44,"Vamos (Uh, uh), sufre por mí
¿Qué pasará el día que yo no esté por ti?
Dime algo, ya no quiero seguir
Ya no me matan esas ansias de vivir por ti
Soy tu diablo (Wa-wow-wow-wow), y tú una luz hacia mí (Uh)
Y tú una luz hacia mí
Oh, dime algo, ya no quiero seguir
Ya no me matan esas ansias de vivir"
Vagabundear,pop,Joan Manuel Serrat,id_45,"Harto ya de estar harto, ya me cansé
De preguntar al mundo porqué y porqué
La rosa de los vientos me ha de ayudar
Y desde ahora vais a verme vagabundear
Entre el cielo y el mar
Vagabundear"
No Más Lágrimas,rock,Hroes Del Silencio,id_52,"Silencio, he oído un rumor
Quería encontrarme un abismo
El miedo, justo a tiempo
Solo un segundo escarbando en vacío
Oh, tan vacío"
Jugadoras Jugadores,rap,Mala Rodrguez,id_53,"Jugadores, esclavas y patrones
Enciende la luz si quieres ver algo
Te ensucias fácil jugando en el barro
Jugadoras, jugadores, esclavas y patrones
Enciende la luz si quieres ver algo
Te ensucias fácil, jugando en el barro"
Descaradamente Bella,rap,Farina,id_55,"Se dice por ahí que tú te crees de película
Ridícula tú tienes hasta falsa la clavícula
Y con ínfula te digo que ella se cree amparo Grisales
Tiene más sabor que tu el profesor jirafales
Vale! Lo que tengo atrás pa sentarme
Es inútil lo que haces tu no vas a opacarme
No entiendo los motivos de tu odio
Pero si soy mucho más hembra que tu no es culpa de tu novio"
Papi Champu,pop,Farruko,id_56,"Ay, si yo te agarro
Con esta nota que yo tengo
Me olvido que no te conozco
Y me voy contigo en sentimiento
Tú sigue la rutina
Tú bailando, yo bebiendo
Yo te veo loquita
Y poco a poco estás cayendo"
Pueblito,pop,Los Cadetes De Linares,id_61,"Pueblito de mi recuerdo
Donde perdi mi mas grande amor
Por eso lo traigo dentro
Dentro muy dentro del corazon
Por eso aunqe io este lejos
Nunca me olvido de aqel amor
Aqel amor q es tan grande
Asi lo siente mi corazon"
Abrazado a Ti,pop,Kevin Kaarl,id_62,"Quisiera volver atrás y otra vez bailar abrazado a ti
Abrazado a ti
Huir de esta ciudad y llorar de amor abrazado a ti
Abrazado a ti
Abrazado a ti
Abrazado a ti
Abrazado a ti"
Muerte Lenta Reprise,pop,JEMR,id_63,"Estoy bien con esta muerte lenta
Así que viviré a mi manera
Como lo hice antes
Sobreviviré años sobre la marea
Y moriré en un instante"
Las Cosas No Están Como Antes,rap,Anuel AA,id_64,"Rafagazos van y vienen, PR parece a Vietnam
Las cosas no están como antes
Dios mío, perdóname, sé que estoy haciendo el mal
Pero no pienso dejarme
Y como dijo Don: ""Tranquilo, voy pa'lante""
Pero primero tengo que velar por el case
Ready con los martillos pa' to' el que pase
No crean en disfraces"
