titulo_noticia,contenido_noticia,medio,id
Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,"La Universidad de Santiago (Usach) está desarrollando un sistema para ayudar en la predicción y prevención de incendios forestales, a partir de datos de la Corporación Nacional Forestal (CONAF). Después de años de trabajo, se espera que esté listo en marzo de 2026. Leoncio Briones, académico de la Facultad de Arquitectura y Ambiente Construido de la Usach, está dirigiendo el proyecto. El experto explica que, si bien en Chile hay medidas de prevención, es necesario “tener un estudio claro de dónde son las zonas de mayor riesgo de incendios forestales”. “Los planes de prevención incluyen preparar durante el invierno la zona de interfaz, donde se juntan las viviendas con el área agrícola o forestal, lo que significa retirar maleza, preparar vías para que puedan llegar rápidamente las brigadas o los bomberos durante el verano”, pero “hay que hacerlo no en cualquier lugar”, aclara en un comunicado. ¿Se puede predecir el lugar de los incendios? Briones dice que para mejorar las medidas de prevención, se requiere inteligencia de datos. Por ello, el proyecto está utilizando información histórica. Se trata de una base de 150 mil siniestros a lo largo de Chile, que analizan con el fin de pronosticar dónde se iniciarán nuevos incendios. “Estamos incorporando cerca de 100 variables para hacer una mejor predicción. Tradicionalmente, se han usado variables atmosféricas y de vegetación solamente”, plantea. “Nosotros estamos incorporando cerca de 100 variables adicionales para poder hacer una mejor predicción de dónde van a ser los incendios forestales, porque no es en cualquier zona de interfaz, es en determinados puntos”, añade. El sistema también está pensado para el problema del cambio climático, que hace que los incendios se muevan y no sean estáticos. “La realidad de este año va a ser distinta de la del año siguiente y por supuesto a la de hace 10 años. Entonces tenemos que tener un sistema de inteligencia que nos permita ir anticipándonos a esos problemas que van a ir ocurriendo, que tienen que ver con el cambio climático y otros factores ambientales”, explica. Por ejemplo, entre las variables que incorporaron, incluyen el comportamiento de las personas, ya que “en Chile prácticamente el 100% de los incendios se producen por las personas, no son catástrofes naturales. De ese 100%, más o menos la mitad es intencional y el otro 50% es alguna torpeza”, puntualiza. También añadieron variables que tienen que ver con la vegetación e incluso con la gobernanza, mientras que van mejorando el porcentaje de precisión de la predicción de lugares de mayor riesgo de incendios forestales. “Lo que nos dice nuestro modelo es que los incendios se producen a mucha distancia de cuarteles de policías y bomberos. Entonces, uno puede pensar en tener equipos que vayan a lugares donde el modelo predice que se va a producir un siniestro y así actuar como disuasivo”, adelanta. “Entonces, mientras más precisa sea la inteligencia, más precisas pueden ser las medidas que tomen preventivamente“, concluye.",bbcl,id_1
Investigadores chilenos desarrollan árboles nativos más resistentes para reforestar tras incendios,"Investigadores de la Universidad de la Frontera (UFRO), en la Araucanía, están desarrollando árboles más resistentes a partir de microorganismos nativos. La iniciativa se creó en respuesta a los incendios forestales que azotan Chile cada año. El proyecto en cuestión, utiliza microorganismos nativos del suelo para producir árboles más resistentes y así aumentar significativamente la supervivencia de especies nativas en terrenos que ya fueron degradados por el fuego. Esto último porque actualmente, cuando se queman cerca de 12 mil hectáreas de bosque y luego se reforesta una superficie similar, solo aproximadamente un 40% de las plantas logran sobrevivir. Además, entre 2024 y 2026, los incendios ya han afectado más de 28 mil hectáreas en todo Chile, con tasas de mortalidad muy altas en los procesos tradicionales de reforestación. Esto demuestra que la superficie que se quema cada año avanza más rápido que la capacidad de los ecosistemas para recuperarse. Árboles más resistentes El objetivo es poder producir árboles nativos que, desde que comiencen a crecer, desarrollen mayor tolerancia al estrés hídrico, térmico y nutricional, propio de los suelos degradados, lo que aumentará sus probabilidades de sobrevivir. El Dr. Andrés Fuentes, académico de la Facultad de Ciencias Agropecuarias y Medio Ambiente de la UFRO y líder del proyecto, explica en un comunicado que “hoy la reforestación post-incendio fracasa en gran medida porque las plantas se producen en condiciones muy favorables, pero luego se enfrentan a suelos degradados por el fuego, que tienen pocos nutrientes y un alto estrés ambiental”. “En este proyecto lo que hacemos es preparar las plantas desde la germinación para que puedan adaptarse y sobrevivir bien en esos escenarios extremos”, aclara. En 2025, Fuentes y su equipo hicieron una etapa piloto de 9 meses, donde evaluaron una estrategia eco-biotecnológica basada en complementar el sustrato de cultivo con microbiomas, es decir, con microorganismos naturales benéficos, presentes en suelos de bosques nativos. “Uno de los principales problemas de la reforestación post-incendio es que las plantas producidas de manera tradicional no logran adaptarse al ambiente degradado que deja el fuego. Más del 60% puede morir durante el primer año”, apunta el experto. Sin embargo, con la ayuda de los microorganismos, que son clave para el crecimiento de las plantas, los árboles podrán tolerar condiciones adversas como sequía, altas temperaturas y baja disponibilidad de nutrientes. Durante esta primera etapa, los investigadores pudieron ver que los árboles desarrollaron características fisiológicas y genéticas que los hacen más tolerantes y resilientes al estrés ambiental. “Son plantas que vienen preparadas para enfrentar condiciones extremas, lo que es clave en suelos afectados por incendios y en un contexto de cambio climático”, agrega Fuentes. Los árboles que mostraron mejores resultados fueron el raulí, roble, peumo, maitén y quillay. Este año, la iniciativa obtuvo el primer lugar nacional en el concurso “Desafíos para la Recuperación Post-Incendios”, de ANID. Ahora, el proyecto comenzó una nueva etapa que se extenderá hasta el 2027, donde buscarán aplicar este método en terreno, en áreas afectadas por incendios en La Araucanía.",bbcl,id_2
Estudio chileno descubrió cómo las plantas deciden entre crecer o resistir la sequía,"Un estudio identificó el mecanismo molecular que les permite a las plantas priorizar entre el crecimiento impulsado por nutrientes o responder a la supervivencia frente a la falta de agua. Esto revela cómo el nitrógeno, un componente clave de las plantas, puede, en ciertos contextos, aumentar la vulnerabilidad al estrés hídrico en un escenario de cambio climático. Científicos del Instituto Milenio de Biología Integrativa (IBio) investigaron a la Arabidopsis thaliana, que es la planta más estudiada del mundo, ya que se encuentra en todos los continentes. El estudio demuestra que la señalización del nitrógeno y la respuesta al déficit hídrico, activan redes genéticas que se cruzan y, en muchos casos, avanzan en sentidos contrarios. En ese punto de conflicto aparece una proteína NLP7, que actúa como un integrador central de ambas señales y define el rumbo fisiológico de la planta. Este mecanismo revela que las plantas no reaccionan de forma automática, sino que ajustan sus prioridades según el contexto. “Lo más llamativo es que el mismo sistema que permite un buen crecimiento -cuando hay nutrientes suficientes- puede transformarse en una desventaja durante la sequía”, explica en un comunicado, José Miguel Álvarez, autor correspondiente del estudio, investigador IBio y director del Núcleo Milenio PhytoLearning. ¿Las plantas deciden crecer o resistir la sequía? Algo así. Más que “decidir”, su organismo sabe priorizar. Resulta que, en presencia del nitrógeno, la proteína NLP7 puede atenuar la activación de los genes relacionados con el estrés hídrico, favoreciendo el crecimiento. Sin embargo, cuando el nitrógeno no está operativo, ocurre lo contrario. Se refuerzan las respuestas defensivas, como el cierre estomático y una mayor retención de agua, lo que se traduce en una mejor tolerancia a la sequía. “Podemos pensar en NLP7 como un interruptor interno”, señala Álvarez. En simple: cuando hay nitrógeno, le indica a la planta que es momento de crecer, pero al hacerlo limita mecanismos que ayudan a conservar agua. Sin ese regulador, el organismo vegetal deja de priorizar el crecimiento y apuesta por sobrevivir. Si bien se utilizó la planta modelo Arabidopsis thaliana, el mecanismo identificado puede estar presente en distintas especies, indica el investigador. De hecho, ya hay evidencia de que algo similar ocurre en el tomate, un cultivo clave para Chile. Wikimedia Commons Álvarez y su equipo creen que este hallazgo impactará directamente la discusión sobre la fertilización en contextos de escasez hídrica. De hecho, ayuda a explicar por qué el uso intensivo de nitrógeno puede agravar los efectos de la sequía en sistemas productivos. “Este conocimiento permite entender mejor cómo interactúan la nutrición y el estrés ambiental”, apunta el experto. A futuro podría servir para diseñar estrategias que mejoren el uso de fertilizantes, sin aumentar la vulnerabilidad frente a la falta de agua. Ahora, planean llevar estos resultados a condiciones más cercanas al campo, donde las plantas enfrentan simultáneamente sequía, altas temperaturas y suelos degradados, para luego escalar hacia los sistemas agrícolas. Referencia: N.R. Johnson,T.C. Moyano, V. Araus, C. Osorio, J. Huang,S. Frangos, A. Herrera-Vásquez, F. Blanco-Herrera, G.M. Coruzzi, E.A. Vidal, & J.M. Álvarez. Antagonistic regulation of nitrogen and drought signaling mediated by NIN-like protein 7 transcription factor in Arabidopsis thaliana. Revista PNAS, 2025.",bbcl,id_3
Para Bío Bío y Ñuble: Gobierno comunica donaciones por US&#36;750.000 de parte de la banca multilateral,"El Gobierno informó, a través del Ministerio de Hacienda, dos donaciones por un total de US$750.000 de parte del Banco de Desarrollo de América Latina y el Caribe-CAF y del Banco Interamericano de Desarrollo (BID), para sortear las necesidades de las regiones de Ñuble y Bío Bío debido a los incendios forestales que también afectaron a zonas urbanas. Los organismos -se detalló- “pusieron a disposición recursos tanto para apoyar las primeras acciones, como para evaluar los daños y pérdidas resultantes de esta catástrofe”. Ambas acciones fueron canalizadas a través del Ministerio de Hacienda como gobernador ante el BID y director ante la CAF en representación de nuestro país. El aporte de CAF consiste en una donación de US$250.000, destinados a las labores inmediatas de la emergencia y cuya administración estará a cargo del Ministerio del Interior. En tanto, el aporte del BID asciende a US$500.000 y se estructura en dos componentes, a fin de apoyar tanto las acciones inmediatas de respuesta, como las labores de evaluación técnica derivadas. Los componentes son: US$350.000 destinados a apoyar las primeras acciones de atención de la emergencia, tales como provisión de bienes, servicios y apoyos necesarios tanto para la población afectada como para los operativos de combate de incendios. Y US$150.000 destinados a la contratación de asesores expertos y personal operativo especializado para la evaluación de las necesidades de la emergencia y de los daños y pérdidas resultantes del desastre. Condolencias y apoyo A través de una carta firmada por el presidente ejecutivo de CAF, Sergio Granados, el organismo expresó su “más profunda solidaridad ante los devastadores efectos del voraz incendio que azota las regiones de Ñuble y Bío Bío, y que ha ocasionado sensibles pérdidas humanas, y considerables daños materiales”. Granados enfatizó que, ante el cambio climático, “el drástico aumento de temperaturas obligan a una acción contundente para mitigar estos fenómenos, así como para mejor preparar a las comunidades para afrontarlos”. Por último, a través de la representante en Chile de BID, Katharina Falkner-Olmedo, el organismo señaló que han visto “con mucho pesar los acontecimientos”. “(…) Deseamos manifestar nuestro compromiso de continuar apoyando al Gobierno de Chile en esta materia”, señaló.",bbcl,id_4
"¿Qué es la ""nieve rosa"" de la Antártica y por qué está acelerando el deshielo?","La nieve rosa de la Antártica se produce debido a la proliferación de ciertas microalgas que producen un pigmento rojo en respuesta al Sol, tiñendo la nieve en tonos rosados y rojos. Esto ocurre mayormente durante el verano austral. Ahora, un estudio del Instituto de Ciencias Marinas de Andalucía (ICMAN-CSIC), descubrió que estas floraciones de algas son mucho más extensas de lo que se pensaba y contribuyen a acelerar el deshielo en un contexto de cambio climático. La investigación, donde también participaron la Universidad de Cádiz y la Universidad del País Vasco (norte de España), reveló que estas microalgas pueden llegar a cubrir entre el 3% y el 12% de la superficie de las islas Shetland del Sur durante el verano del hemisferio sur, lo que supone una extensión máxima de 176 kilómetros cuadrados, una cifra superior a la documentada hasta ahora. Los resultados, publicados en la revista Communications Earth & Environment, indican que estas algas reducen hasta en un 20 % el albedo superficial —la capacidad de la nieve y el hielo para reflejar la radiación solar—, favoreciendo la absorción de calor y acelerando el proceso de deshielo. Las algas rojas proliferan durante el verano austral, entre diciembre y febrero, y son las responsables de que la nieve adquiera un tono rosado en amplias zonas del continente helado. El estudio ha constatado su presencia tanto en glaciares como en nieves costeras y casquetes polares del archipiélago, situado a unos 120 kilómetros de la Antártica continental. “Este proceso genera un preocupante bucle de retroalimentación positiva, ya que el aumento del deshielo crea condiciones aún más favorables para la proliferación de estas algas“, explicó a EFE el investigador del CSIC Alejandro Román, primer autor del trabajo. ¿Más nieve rosa en la Antártica? La investigación, que abarca el periodo comprendido entre 2018 y 2024, detecta además una tendencia creciente en la extensión y duración de estas floraciones, aunque los autores subrayan la necesidad de ampliar las series temporales para confirmar esta evolución. El estudio combina datos de teledetección por satélite con información obtenida mediante drones equipados con sensores hiperespectrales, lo que ha permitido crear la primera base de datos hiperespectral en abierto sobre floraciones masivas de algas rojas en la Antártica. A partir de esta información, el equipo aplicó técnicas de aprendizaje automático para cartografiar la distribución espacial de estas algas en 45 imágenes satelitales libres de nubes, cubriendo todo el archipiélago de las Shetland del Sur. Los autores señalan que estos resultados aportan información clave para el seguimiento de los ecosistemas polares y para comprender mejor el papel de estos microorganismos en los procesos de deshielo y en la respuesta de la Antártica al calentamiento global. Referencia: Alejandro Román y otros autores. Unveiling the large coverage of red snow algae blooms in antarctic coastal snowfields. Revista Nature, Communications Earth & Environment, 2026.",bbcl,id_5
Planificación y ordenamiento territorial para prevenir desastres por incendios forestales,"El desastre por los incendios de origen forestal, que afectaron los centros poblados en las regiones de Biobío y Ñuble, permite volver a plantear la propuesta de considerar el área de la interfaz urbana-rural como zona de amortiguación. Es importante tener presente que, en Chile el 54% de la población nacional está expuesta a tres o más amenazas. Por lo tanto, es necesario fortalecer la resiliencia a distintos niveles, temporalidades y etapas del ciclo de gestión del riesgo. En Chile existe un ecosistema mediterráneo que tiene una temporada seca y, esto hace que tengamos biomasa combustible. Adicionalmente las condiciones meteorológicas, tales como temperatura, el viento y la humedad del aire están en un cambio de régimen debido al cambio climático. Las geógrafas y los geógrafos en Chile desarrollan diversas acciones profesionales asociadas a la gestión del riesgo a corto, mediano y largo plazo y a diferentes escalas territoriales, dado que son considerados por la Ordenanza General de Urbanismo y Construcciones (OGUC), como especialistas en estudios de riesgo, además por la formación científica en diversas áreas del conocimiento, que considera lo humano y ambiental como sistema integral. Es así como a corto plazo, es decir, en la etapa de respuesta del incendio a nivel barrial, comunal y regional, desde su labor en organizaciones públicas y privadas, coordinadas y participando en conjunto en el combate de la emergencia, desempeñan labores de apoyo en las áreas que permiten conocer el comportamiento de la amenaza y medir sus consecuencias en el territorio, utilizando herramientas como los sistemas de información geográfica (SIG). Así, por ejemplo: es posible reconocer los probables avances de un incendio y dirigir los esfuerzos hacia los lugares adecuados, o determinar la cantidad de infraestructura afectada. Es importante mencionar que es urgente considerar este tipo de perfil profesional, en todas las etapas del ciclo de gestión del riesgo, generando equipos multidisciplinarios, para complementar miradas y acciones en el territorio. Una vez terminada la emergencia, los geógrafos y las geógrafas participan en la reconstrucción de diversas maneras, entre las que se destacan el generar nuevos entornos urbanos más seguros, además de diversas áreas de concientización y educación comunitaria, desde los barrios, para hacer comunidades más resilientes, que conozcan los territorios en los que habitan y las amenazas presentes, para generar y exigir medidas de seguridad, plan de evacuación, etc. Todo ello con el apoyo de las autoridades locales. Prevención Es la etapa preventiva, es decir, antes del desastre, la de mayor importancia, donde las geógrafas y los geógrafos han generado una cantidad de propuestas y acciones para ser implementadas a mediano y largo plazo tanto a nivel regional como nacional, donde se deben desarrollar la mayor cantidad de acciones para evitar la pérdida de vidas humanas, daños a la ecología, y a la infraestructura del país. Las propuestas consideran a la planificación y ordenamiento del territorio, como un punto de vital importancia, donde es necesario incorporar de manera imperativa a los profesionales de la geografía que aportan con una mirada integral y sistémica del territorio, sea urbano y rural o la interfaz entre ambos, pues ya no hay margen de sólo ordenar lo urbano o rural por separado, se debe avanzar a la planificación completa del territorio. La Ley de Urbanismo y Construcciones considera en su ordenanza para la planificación urbana las zonas de riesgo, considerando a los incendios. Los profesionales de la geografía son especialistas en estos estudios, analizando sus variables (pendiente del terreno, cobertura del suelo, etc.) probable distribución espacial, el impacto en los ecosistemas y la sociedad, y patrones de propagación, usando herramientas como los Sistemas de Información Geográfica (SIG) para mapear áreas expuestas y vulnerables a estos procesos y considerar recomendaciones para establecer áreas de amortiguación entre los lugares donde podría originarse el fuego y los sectores habitados. La recomendación más urgente, es que se implementen para las zonas habitadas, fajas de al menos 400 metros de diámetro, fuera del límite urbano, que se incrementen de acuerdo a la pendiente del terreno y topografía, conformando zonas con usos diversos como infiltración de agua, conservación de suelo, cultivos agrícolas, entre otros usos, bajo la supervisión del Servicio Nacional Forestal -SERNAFOR- (Ex CONAF), lo cual generará una barrera seminatural, en la cual, al cambiar el tipo de vegetación, el fuego disminuye su intensidad por falta de carga combustible, facilitando las labores de control. Justamente para reducir el riesgo de desastre, porque la probabilidad de tener nuevamente un evento de gran magnitud y que impacte a un alto número de población es lamentablemente muy alta. Los recursos son limitados, pero con adecuada gestión debería reorientarse a la inversión que genere capacidades y resiliencia territorial, incorporando la mixtura del uso del suelo, condiciones para que plantaciones sean más sostenibles, en estas materias la ciencia ha entregado grandes conocimientos que se están incorporando a la fecha, desde las soluciones basadas en la naturaleza con infraestructura verde en las ciudades. Por último, un rol clave para enfrentar estos desafíos es asegurar y fortalecer el financiamiento a la ciencia. En ese esfuerzo, donde los geógrafos y las geógrafas cumplen un papel central, se vuelve indispensable seguir desarrollando conocimiento nuevo y pertinente sobre estas problemáticas urgentes. Solo así se generará evidencia e insumos concretos para la adaptación a condiciones que ya no serán excepcionales, sino que estarán presentes con mayor frecuencia e intensidad en los próximos años. María Ester Arancibia Presidenta del Colegio de Geógrafas y Geógrafos de Chile A.G. Pablo Sarricolea Director Departamento de Geografía, Universidad de Chile Investigador del Centro de Ciencia del Clima y de la Resiliencia (CR2) Director del Colegio de Geógrafas y Geógrafos de Chile A.G.",bbcl,id_6
"Groenlandia publica guía para preparar a la población ante eventos de crisis, por interés de Trump","El Gobierno del territorio autónomo danés de Groenlandia publicó este miércoles una guía para preparar a los hogares ante situaciones de crisis, coincidiendo con el interés del presidente estadounidense, Donald Trump, por hacerse con el control de la isla ártica. El documento, que explica cuál debe ser la preparación frente a crisis durante cinco días, fue presentado por el Ministerio de Naturaleza y Medioambiente del Ejecutivo de la isla ártica del Reino de Dinamarca para responder a “eventos” que hagan “particularmente vulnerable” a la población, explicó el Gobierno groenlandés. “Tenemos una tradición de estar bien preparados, también en parte porque la meteorología inestable, el cambio climático son parte de nuestra vida diaria” y “ocasionalmente experimentamos eventos que nos hacen particularmente vulnerables, algo que experimentamos, entre otras cosas, con apagones”, dijo Peter Borg, responsable, entre otras áreas, de Autosuficiencia en el Gobierno de Groenlandia. Según explicó en un comunicado el Gobierno de la isla ártica, la guía “es un complemento a la preparación existente y debe considerarse como una ayuda para el individuo y como un refuerzo para la comunidad”. La guía es producto de un año de trabajo tras “una serie de cortes de electricidad de corta y larga duración” que afectaron a la isla, de acuerdo con el Ejecutivo groenlandés. Groenlandia entrega guía de crisis a su población El documento invita a los groenlandeses a tener en circunstancias críticas tres litros de agua por persona y día, comida duradera y fácil de preparar para cinco jornadas, medicinas que incluyan un kit de primeros auxilios, bienes de higiene como papel higiénico y desinfectante para las manos, además de recursos para luchar contra el frío. En una isla ártica donde las temperaturas pueden llegar a bajar a menos 20 grados centígrados, las autoridades recomiendan desde mantas y ropa caliente, hasta fuentes de calor como hornillos, estufas de queroseno, velas y hasta un generador de emergencia con su correspondiente combustible. Además, entre las “otras necesidades” de la guía se incluyen, bengalas, diferentes modos de pago, ya sea con tarjetas o dinero en efectivo, pilas y baterías externas para dispositivos como los teléfonos móviles. Para que los groenlandeses puedan mantenerse informados, su Gobierno les recomienda también disponer de una radio que funcione con pilas, células solares o manivela; tener a mano los teléfonos de familiares, vecinos y autoridades, y no desechar la opción de contar con equipos de comunicación por satélite. La publicación de la guía, titulada “Preparado para la crisis”, se produjo en una jornada en la que, tras semanas de debate sobre el insistente interés de Trump por controlar la isla ártica, el jefe del Estado estadounidense pidió en el Foro Económico de Davos, negociaciones “inmediatas” para la adquisición de territorio autónomo danés.",bbcl,id_7
"""Es un acuerdo raro"": Experto en política internacional cuestiona anuncio de Trump sobre Groenlandia","El anuncio del presidente de Estados Unidos, Donald Trump, sobre un supuesto acuerdo preliminar con la OTAN por Groenlandia generó dudas y cuestionamientos en el ámbito internacional. Así lo planteó el académico y experto en política internacional de la Universidad de los Andes, Juan Ignacio Brito. Quien afirmó que “es un acuerdo raro el que anunció el presidente Trump”. Ya que el secretario general de la OTAN, Mark Rutte, “no tiene soberanía sobre Groenlandia ni mandos sobre ningún territorio”. Brito sostuvo que la suspensión de amenazas arancelarias contra países europeos responde más a una salida política que a un acuerdo concreto. “Me da la impresión de que Trump está buscando una salida a todo lo que dijo”, señaló el académico. Además, recordó que varios países nórdicos se alinearon con Dinamarca tras el envío de efectivos militares a la isla. En ese contexto, explicó que “no es con Mark Rutte con quien tiene que conversar para conseguir Groenlandia”. Por lo que aún no está claro qué se habría acordado realmente. Respecto al interés estratégico de Estados Unidos, el académico explicó que Groenlandia se ha vuelto clave por razones geopolíticas y de seguridad. “Con el cambio climático y los deshielos, lo que antes era inaccesible hoy es accesible en verano”, afirmó, destacando la apertura de nuevas rutas en el Ártico. Añadió que la isla representa “una suerte de flecha que apunta hacia el sur que Estados Unidos no controla”, lo que es visto como un riesgo estratégico. Especialmente en el marco del sistema antimisiles que Trump impulsa. “Parece que ahí está la obsesión de Trump: no por los recursos, sino básicamente por un tema de seguridad”, concluyó.",bbcl,id_8
Descubren una impresionante adaptación al cambio climático en pingüinos que anidan en la Antártica,"Los pingüinos que anidan en la Antártica hicieron cambios en sus temporadas de reproducción, probablemente en respuesta al cambio climático, según descubrió un estudio que les hizo seguimiento durante una década. Este hallazgo corresponde a investigadores de la organización Penguin Watch, en la Universidad de Oxford y la Universidad Oxford Brookes (Reino Unido), que analizaron el calendario reproductivo de los pingüinos entre 2012 y 2022. Resulta que las alteraciones del entorno, como las variaciones en el hielo marino, la productividad y las temperaturas, posiblemente hicieron que estas aves tuvieran que aparearse antes de lo que acostumbraban. De hecho, en 3 especies de pingüinos que anidan en la Antártica, la temporada reproductiva se adelantó a un ritmo récord en solo 10 años. ¿Qué pasa con los pingüinos que anidan en la Antártica? Los investigadores hicieron seguimiento a colonias de pingüinos Adelia (Pygoscelis adeliae), Barbijo (P. antarcticus) y Papúa (P. papua). Estas variaban de tamaño desde una docena de nidos, hasta cientos de miles. Pusieron 77 cámaras time-lapse para observar a 37 colonias en la Antártica y en algunas islas subantárticas y observaron sus temporadas reproductivas. Lo que encontraron fue que las 3 especies se adaptaron. Los pingüinos papúa fueron los que mostraron un mayor cambio en sus periodos de reproducción, adelantando 13 días en promedio por década. Algunas colonias se adelantaron 24 días, lo que significa el cambio fenológico (alteración en los ciclos naturales) más rápido jamás registrado en un ave. Por otro lado, los pingüinos adelia y barbijo adelantaron su reproducción un promedio de 10 días en una década. Las cámaras con las que monitorearon a los pingüinos también contaban con un termómetro para medir las temperaturas en las colonias, lo que reveló que se están calentando 4 veces más rápido (0,3 °C/año) que el promedio antártico (0,07 °C/año). Esto último hace que las colonias de pingüinos en la Antártica sean uno de los hábitats que más rápidamente se calienta en la Tierra. *Pingüino adelia y sus crías | Crédito: Wikimedia Commons ¿Es bueno que se adapten? Si bien estos resultados muestran que los pingüinos tienen la capacidad de sortear los obstáculos del cambio climático para aparearse, no se sabe si estos cambios afectan la tasa de éxito de su reproducción. Los modelos sugieren que la temperatura es un factor principal, pero también podría ser, por ejemplo, la disponibilidad de presas, y cabe preguntarse cuál es el límite de los pingüinos para adaptarse si es que las temperaturas siguen subiendo. Además, la respuesta es diferente en cada especie. “Nuestros resultados indican que probablemente habrá ‘ganadores y perdedores del cambio climático’ para estas especies de pingüinos“, explicó en un comunicado el Dr. Ignacio Juárez Martínez, de la Universidad de Oxford/Universidad Oxford Brookes, autor principal de la investigación. “En concreto, las condiciones cada vez más subpolares de la Península Antártica probablemente favorezcan a los generalistas como los pingüinos papúa, en detrimento de los especialistas polares como los pingüinos barbijo, especializados en kril, y los pingüinos adelia, especializados en hielo”, planteó. Si algunas especies no prevalecen, esto podría tener graves consecuencias: “los pingüinos desempeñan un papel fundamental en las cadenas tróficas antárticas, y la pérdida de diversidad de pingüinos aumenta el riesgo de un colapso generalizado del ecosistema”, añadió. La Dra. Fiona Jones, investigadora de la Universidad de Oxford y coautora de la investigación, dijo por su parte que “dado que los pingüinos se consideran un indicador del cambio climático, los resultados de este estudio tienen implicaciones para las especies de todo el planeta“. “Se necesita un mayor seguimiento para comprender si este avance récord en las temporadas reproductivas de estas especies de pingüinos está afectando su éxito reproductivo”, concluyó. Referencia: Ignacio Juarez Martinez y otros autores. Record phenological responses to climate change in three sympatric penguin species. Journal of Animal Ecology, 2026.",bbcl,id_9
La ineficiencia y respuesta tardía del Gobierno ante una emergencia previsible,"Nuevamente los chilenos estamos siendo testigos impotentes de como zonas importantes del sur de nuestro país, zonas agrícolas, ciudades y pueblos han sido arrasados por las llamas incontrolables; mientras que miles de familias han debido abandonar sus casas, que en minutos han sido devoradas por el fuego. ¿Era algo que se podía prever?…sin duda que sí. Cualquier chileno que viera desde hace varios días en los medios de comunicación, la información de las altas temperaturas y las condiciones climáticas que se esperaban para la zona, sabía que el panorama se veía difícil. Con mayor razón si esto mismo ya había sucedido en otros lugares del planeta y se sabía que nos iba a tocar lo mismo y que era necesario aprender de esas experiencias. Cabe preguntarse entonces ¿dónde estaban nuestras autoridades nacionales que no tomaron en ese momento todas las medidas preventivas necesarias?…hacer reuniones con todas las instancias de esas comunidades, para coordinar en ese momento las acciones para responder a las primeras señales de fuego; tener listos los decretos necesarios para disponer el apoyo de las Fuerzas Armadas; tener a disposición los aviones y helicópteros cisternas, imprescindibles para un rápido control desde el inicio. Y así, suma y sigue. Lo que ha sucedido, las vidas dolorosamente perdidas, las ciudades arrasadas y que habrá que reconstruir, son la lamentable secuela de la ineficiencia de un Gobierno, que nuevamente ha respondido tardíamente a una situación que era previsible y cuyo impacto podría haber sido controlado. Las autoridades han señalado que antes del inicio de la temporada de mayor riesgo, se presentaron planes y estrategias para fortalecer la respuesta institucional. Las autoridades encargadas del Ministerio de Agricultura, Vivienda y Urbanismo, junto a Conaf y Senapred, llevaron a cabo anuncios de medidas como monitoreo de zonas de alto riesgo con sistemas de alerta y el despliegue de recursos tecnológicos para la detección temprana de fuegos. Es evidente que en la teoría todo lo que se dispuso pudo haber parecido suficiente, pero la práctica nos muestra que no fue así. Ver en los medios de comunicación a un alcalde implorando al Gobierno central medidas urgentes de apoyo, mientras a sus espaldas se veían imágenes de su ciudad siendo devorada por las llamas, no ha dejado a nadie indiferente. Todo lo anterior se complica más todavía, cuando los chilenos tenemos claro el impacto de la destrucción ocurrida en Valparaíso hace un año y la tremenda lentitud con la que el Gobierno ha enfrentado esa tragedia, con cientos de familias que aún no logran recuperar un lugar digno para vivir. Hoy, el centro y sur de Chile están enfrentado una de las crisis más graves de incendios forestales en años recientes. Las regiones de Ñuble, Biobío y La Araucanía han sido las más afectadas por cientos de focos que se han propagado con inusitada rapidez, impulsados por el clima extremo, con altas temperaturas y vientos intensos, que ha convertido a amplias zonas en un terreno ideal para las llamas. La magnitud de la emergencia ha sido dramática: las pérdidas de vidas; las decenas de miles de personas que han tenido que abandonar sus hogares y ser evacuadas y miles de hectáreas de bosque, vegetación y territorio rural que han sido arrasadas. Las cifras, que siguen en actualización, reflejan la persistencia de múltiples focos activos que aún desafían el combate directo. Las principales críticas, surgidas desde diversos sectores, son que las medidas preventivas han sido insuficientes y retrasadas. Organizaciones civiles, expertos y gremios, señalan que Chile carece de una política efectiva y sostenida de prevención de incendios forestales, con acciones concretas que enfrenten las causas profundas de estos fenómenos. Existe una crítica potente que señala que la legislación vigente, no incorpora suficientes mecanismos de prevención ni sanciones claras para quienes provocan incendios de manera intencional, un factor que en temporadas anteriores ha sido identificado como una causa significativa de siniestros, sin que exista una fiscalización eficaz. Expertos también han insistido en que las medidas preventivas deben ir más allá de la temporada crítica, incorporando acciones durante todo el año para mitigar la recurrencia de fuegos devastadores. Por otro lado, no puede dejarse de lado el impacto del cambio climático, que ha intensificado las condiciones de sequedad y calor en amplias zonas de Chile, haciendo más probables y severos los incendios forestales. Esta realidad exige no solo una respuesta reactiva ante emergencias, sino un enfoque adaptable que considere escenarios futuros más extremos. La crisis actual pone en evidencia que pese a hacer esfuerzos aislados y protocolos de emergencia, el país aún debe avanzar hacia una estrategia integrada de prevención, respuesta y resiliencia, que combine la acción gubernamental, la participación ciudadana y la cooperación interinstitucional, para proteger tanto a las personas como al medio ambiente rural y forestal.",bbcl,id_10
