ID,medio,titulo_noticia,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,total_palabras,porc_anger,porc_anticipation,porc_disgust,porc_fear,porc_joy,porc_sadness,porc_surprise,porc_trust
id_1,bbcl,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,0,4,0,1,1,0,0,2,24,0,16.67,0,4.17,4.17,0,0,8.33
id_10,bbcl,¿Por el cambio climático? Encuentran raro pez de aguas profundas a metros de la superficie en EEUU,1,3,0,1,4,0,1,0,38,2.63,7.89,0,2.63,10.53,0,2.63,0
id_100,bbcl,"El biólogo chileno que puso en duda la teoría del origen de los primates: ""Ha sido muy controversial""",0,1,0,0,1,0,0,0,36,0,2.78,0,0,2.78,0,0,0
id_101,bbcl,PUCV lanza 31 cursos gratuitos y abiertos a la ciudadanía: revisa cuáles son y cómo acceder,0,1,0,1,1,0,0,1,28,0,3.57,0,3.57,3.57,0,0,3.57
id_102,bbcl,"NASA dejará de investigar la Tierra por orden de Trump: ""Dejaremos de lado toda la ciencia climática""",0,1,0,1,0,1,1,0,24,0,4.17,0,4.17,0,4.17,4.17,0
id_103,bbcl,Investigadores reinsertan 287 toromiros en Rapa Nui: árbol endémico estuvo extinto por 60 años,0,1,0,0,0,1,0,0,41,0,2.44,0,0,0,2.44,0,0
id_104,bbcl,El peligro que acecha a Rapa Nui: Moáis pueden desaparecer por el aumento del mar en algunos años más,0,1,0,3,0,0,1,1,46,0,2.17,0,6.52,0,0,2.17,2.17
id_105,bbcl,Estadounidense muere por una bacteria carnívora tras hacerse mínima herida con el remolque de un bote,1,2,3,4,2,1,2,1,42,2.38,4.76,7.14,9.52,4.76,2.38,4.76,2.38
id_106,bbcl,Corfo aprueba y difunde alianza entre Chile y Finlandia para desarrollo y transferencia tecnológica,0,1,0,1,0,0,0,1,27,0,3.7,0,3.7,0,0,0,3.7
id_107,bbcl,Golosos en alerta: crisis de las avellanas remece precios y golpearía a los amantes de la Nutella,3,0,1,4,0,4,0,0,34,8.82,0,2.94,11.76,0,11.76,0,0
id_108,bbcl,No habrá lista única: dos partidos se bajan de pacto parlamentario al interior del oficialismo,0,3,0,1,2,1,3,6,31,0,9.68,0,3.23,6.45,3.23,9.68,19.35
id_109,bbcl,Rector de la UACh explica por qué cerrarán carreras técnicas y profesionales del campus Patagonia,0,3,0,1,0,1,0,2,39,0,7.69,0,2.56,0,2.56,0,5.13
id_11,bbcl,"5 preguntas y respuestas sobre la araña de rincón: la más mortal, presente en 90% de hogares de Chile",0,2,0,1,0,0,1,2,45,0,4.44,0,2.22,0,0,2.22,4.44
id_110,bbcl,Iniciativa capacita a funcionarios municipales del Bío Bío y Malleco en gestión de desastres naturales,0,1,0,1,1,0,0,1,43,0,2.33,0,2.33,2.33,0,0,2.33
id_111,bbcl,Deshielo de un glaciar deja al descubierto cuerpo de hombre desaparecido hace 28 años: estaba intacto,0,1,1,1,3,2,2,5,33,0,3.03,3.03,3.03,9.09,6.06,6.06,15.15
id_112,bbcl,"Científicos confirman que la raya diamante, con aguijón venenoso, llegó a Chile para quedarse",2,0,2,2,1,1,0,0,22,9.09,0,9.09,9.09,4.55,4.55,0,0
id_113,bbcl,"China reportó 7 mil casos de virus ""chikunguña"" transmitido por mosquitos: OMS instó a tomar medidas",1,0,2,6,0,3,0,0,33,3.03,0,6.06,18.18,0,9.09,0,0
id_114,bbcl,"Marius Borg, el problemático miembro de la realeza noruega en el que sobrecaen 23 denuncias",2,0,0,2,0,2,0,3,48,4.17,0,0,4.17,0,4.17,0,6.25
id_115,bbcl,"El agua dulce está desapareciendo: encuentran 4 zonas de ""megasequedad"" que se expanden por la Tierra",0,2,0,1,2,0,1,1,28,0,7.14,0,3.57,7.14,0,3.57,3.57
id_116,bbcl,"Tribunal Mundial dictó que países que no luchan contra el cambio climático cometen un ""acto ilícito""",0,1,1,2,0,0,0,1,18,0,5.56,5.56,11.11,0,0,0,5.56
id_117,bbcl,"Ola de calor récord azota a Finlandia y está afectando a los renos del ""Viejito Pascuero""",0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,3.57
