ID,titulo_noticia,medio,palabra
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,universidad
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,santiago
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,usach
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,desarrollando
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,sistema
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,predecir
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,prevenir
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,incendios
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,forestales
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,utilizando
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,datos
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,conaf
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,dirigido
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,leoncio
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,briones
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,proyecto
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,busca
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,identificar
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,zonas
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,mayor
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,riesgo
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,mejorar
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,medidas
