ID,titulo_noticia,medio,palabra,puntuacion
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,mayor,3
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,mayor,3
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,riesgo,-2
id_1,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,bbcl,mejorar,2
id_2,Investigadores chilenos desarrollan árboles nativos más resistentes para reforestar tras incendios,bbcl,aumentar,1
id_3,Estudio chileno descubrió cómo las plantas deciden entre crecer o resistir la sequía,bbcl,crecimiento,2
id_3,Estudio chileno descubrió cómo las plantas deciden entre crecer o resistir la sequía,bbcl,gracias,2
id_3,Estudio chileno descubrió cómo las plantas deciden entre crecer o resistir la sequía,bbcl,gracias,2
id_3,Estudio chileno descubrió cómo las plantas deciden entre crecer o resistir la sequía,bbcl,crecimiento,2
id_3,Estudio chileno descubrió cómo las plantas deciden entre crecer o resistir la sequía,bbcl,ausencia,-2
id_4,Para Bío Bío y Ñuble: Gobierno comunica donaciones por US&#36;750.000 de parte de la banca multilateral,bbcl,emergencia,-2
id_5,"¿Qué es la ""nieve rosa"" de la Antártica y por qué está acelerando el deshielo?",bbcl,cubrir,-3
id_5,"¿Qué es la ""nieve rosa"" de la Antártica y por qué está acelerando el deshielo?",bbcl,esperado,-1
id_6,"Groenlandia publica guía para preparar a la población ante eventos de crisis, por interés de Trump",bbcl,crisis,-3
id_8,"Marcelo Lagos critica gestión de catástrofe en Biobío y Ñuble: ""Ante incendios, estamos a poto pelado""",bbcl,mayor,3
id_8,"Marcelo Lagos critica gestión de catástrofe en Biobío y Ñuble: ""Ante incendios, estamos a poto pelado""",bbcl,mayor,3
id_8,"Marcelo Lagos critica gestión de catástrofe en Biobío y Ñuble: ""Ante incendios, estamos a poto pelado""",bbcl,responsable,2
id_8,"Marcelo Lagos critica gestión de catástrofe en Biobío y Ñuble: ""Ante incendios, estamos a poto pelado""",bbcl,mejorar,2
id_8,"Marcelo Lagos critica gestión de catástrofe en Biobío y Ñuble: ""Ante incendios, estamos a poto pelado""",bbcl,solo,-2
id_8,"Marcelo Lagos critica gestión de catástrofe en Biobío y Ñuble: ""Ante incendios, estamos a poto pelado""",bbcl,intereses,1
id_9,Dentro de una granja para gordos en China: controvertidos y estrictos campamentos para adelgazar,bbcl,preocupante,-3
id_10,¿Por el cambio climático? Encuentran raro pez de aguas profundas a metros de la superficie en EEUU,bbcl,linda,2
id_10,¿Por el cambio climático? Encuentran raro pez de aguas profundas a metros de la superficie en EEUU,bbcl,suerte,3
id_10,¿Por el cambio climático? Encuentran raro pez de aguas profundas a metros de la superficie en EEUU,bbcl,suerte,3
id_10,¿Por el cambio climático? Encuentran raro pez de aguas profundas a metros de la superficie en EEUU,bbcl,juvenil,2
id_10,¿Por el cambio climático? Encuentran raro pez de aguas profundas a metros de la superficie en EEUU,bbcl,solo,-2
