palabra;valencia
aaaaaah;0,479
aaaah;0,52
cerdo hormiguero;0,427
detrás;0,385
ábaco;0,51
abulón;0,5
abandonar;0,052
abandonado;0,046
abandono;0,128
avergonzado;0,177
disminuir;0,255
disminución;0,388
abba;0,562
abadía;0,58
abad;0,427
abreviar;0,531
abreviatura;0,469
abdomen;0,469
abdominal;0,49
secuestrar;0,173
secuestro;0,062
aberrante;0,146
aberración;0,125
suspensión;0,33
aborrecer;0,125
aborrecimiento;0,167
aborrecible;0,229
cumplir;0,635
permanencia;0,796
capacidad;0,875
abyecto;0,354
ablación;0,418
ardiendo;0,24
poder;0,786
anormal;0,137
anomalía;0,092
a bordo;0,698
morada;0,62
abolir;0,448
abolición;0,323
abominable;0,12
abominar;0,198
abominación;0,078
aborigen;0,448
abortar;0,153
aborto;0,082
abortivo;0,09
abundar;0,704
anteriormente mencionado;0,541
abracadabra;0,673
abrasión;0,406
abrasivo;0,392
de frente;0,635
extranjero;0,677
abrogar;0,327
abrupto;0,271
abruptamente;0,25
absceso;0,154
ausencia;0,153
ausente;0,177
absentismo;0,404
Ajenjo;0,481
absoluto;0,526
absolución;0,715
absolver;0,684
absorber;0,469
absorbido;0,49
absorbente;0,552
absorción;0,609
abstenerse;0,385
abstención;0,271
abstinencia;0,26
resumen;0,438
abstracción;0,469
absurdo;0,188
abundancia;0,812
abundante;0,958
abuso;0,071
abusado;0,021
abusivo;0,125
contrafuerte;0,5
aby;0,385
abismal;0,25
abismo;0,353
académico;0,781
academia;0,704
acceder a;0,698
acelerante;0,643
acelerar;0,615
acelerado;0,61
aceleración;0,704
acelerador;0,593
acento;0,598
acentuar;0,673
aceptar;0,847
aceptable;0,812
aceptación;0,833
aceptaciones;0,847
acceso;0,714
accesible;0,796
adhesión;0,612
accesorio;0,562
accidente;0,125
accidental;0,319
accidentalmente;0,333
aclamación;0,562
espaldarazo;0,688
acomodar;0,844
alojamiento;0,817
acompañamiento;0,74
acompañar;0,833
acompañamiento;0,787
cómplice;0,408
realizar;0,929
logrado;0,87
logro;0,917
acuerdo;0,898
conformidad;0,659
acordeón;0,604
cuenta;0,531
responsabilidad;0,755
responsable;0,709
contador;0,625
contabilidad;0,552
cuentas;0,592
autorizado;0,669
acreción;0,448
acumularse;0,52
accueil;0,45
acumular;0,573
acumulación;0,479
precisión;0,604
preciso;0,743
maldito;0,135
acusación;0,073
acusativo;0,198
acusar;0,133
acusado;0,13
acusador;0,122
acusando;0,156
acostumbrado;0,542
as;0,643
acético;0,333
acetileno;0,306
dolor;0,146
lograr;0,816
logrado;0,896
logro;0,896
dolor;0,053
adolorido;0,167
ácido;0,265
acidez;0,156
reconocer;0,786
admitido;0,714
Reconocimiento;0,819
cumbre;0,408
acné;0,167
bellota;0,448
acústico;0,542
acústica;0,611
familiarizar;0,646
conocido;0,656
familiarizado;0,906
aquiescencia;0,542
adquirir;0,833
adquisidor;0,735
adquisición;0,698
adquisiciones;0,773
absolver;0,583
absolución;0,76
acre;0,583
superficie en acres;0,741
hectáreas;0,51
acróbata;0,708
acrílico;0,582
Actuar;0,656
interino;0,698
acción;0,76
Figura de acción;0,615
procesable;0,673
activar;0,764
activación;0,781
activo;0,847
activista;0,531
actividad;0,701
actor;0,653
Actriz;0,633
actual;0,729
realidad;0,75
actuario;0,51
agudeza;0,469
perspicacia;0,564
acupuntura;0,531
agudo;0,427
extremadamente;0,417
anuncio;0,521
adagio;0,517
firme;0,344
adaptar;0,74
adaptable;0,735
adaptación;0,663
agregar;0,728
adicional;0,562
apéndice;0,392
sumador;0,388
adicto;0,075
adiccion;0,18
adictivo;0,302
suma;0,562
adicional;0,673
aditivo;0,561
Dirección;0,65
destinatario;0,622
direcciones;0,51
adepto;0,594
adecuación;0,615
adecuado;0,854
adherirse;0,633
adherencia;0,76
adherente;0,561
adherido;0,612
adhesión;0,521
adhesivo;0,604
adiós;0,25
adiposo;0,333
proximidad;0,365
adyacente;0,645
adjetivo;0,57
contiguo;0,52
aplazar;0,385
aplazamiento;0,438
juzgar;0,559
adjudicación;0,551
adjunto;0,459
ajustar;0,647
ajustador;0,51
ajustamiento;0,59
auxiliar;0,51
administración;0,688
administrar;0,635
administración;0,625
administrativo;0,542
administrador;0,538
admirable;0,929
almirante;0,844
almirantazgo;0,594
admiración;0,969
admirar;0,867
estimado;0,917
admirador;0,796
admirativo;0,867
admisibilidad;0,802
admisible;0,78
admisión;0,802
admitir;0,538
entrada;0,69
aceptado;0,72
admitiendo;0,62
mezcla;0,45
amonestación;0,357
alharaca;0,52
adobe;0,5
adolescencia;0,487
adolescente;0,781
adoptar;0,694
adopción;0,625
adoptivo;0,531
adorable;0,969
adoración;0,885
adorar;0,854
cariñoso;0,885
adornar;0,91
adorno;0,918
adrenalina;0,865
a la deriva;0,398
adulto;0,815
espurio;0,188
adúltero;0,229
adulterio;0,12
edad adulta;0,541
ventaja;0,673
avanzado;0,844
avance;0,776
avanzando;0,929
ventaja;0,917
ventajoso;0,837
adviento;0,665
aventura;0,917
aventurero;0,781
aventuras;0,812
aventurero;0,969
adversario;0,349
adverso;0,323
adversidad;0,276
anunciar;0,5
anuncio publicitario;0,6
publicidad;0,622
anuncios;0,551
consejo;0,698
aconsejable;0,867
consejo;0,76
aconsejado;0,823
asesoramiento;0,698
asesor;0,745
tutor;0,646
consultivo;0,656
Abogacía;0,5
defensor;0,551
égida;0,49
aireación;0,55
aéreo;0,615
aeróbicos;0,708
aeródromo;0,541
aerodinámico;0,561
aerodinámica;0,59
aeronáutica;0,551
avión;0,714
aeroespacial;0,643
estético;0,708
estética;0,847
etiología;0,48
lejos;0,396
afable;0,704
asunto;0,52
afectar;0,458
conmovedor;0,35
cariño;0,898
cariñoso;0,949
afectos;0,76
afiche;0,479
declaración jurada;0,469
asociado;0,673
afiliación;0,615
afinidad;0,8
afirmar;0,745
afirmación;0,75
afirmativo;0,854
afirmativamente;0,908
