Título,Reseña,Género,id
Sand Castle,"Ambientada durante la ocupación de Irak, la historia sigue a un pelotón de soldados estadounidenses que intenta proteger una pequeña aldea.",Guerra,id_1
Interview with the Vampire,"Un vampiro relata su épica historia de vida, marcada por el amor, la traición, la soledad y un hambre insaciable, a un reportero demasiado curioso.",Horror,id_2
Dreamscape,"Un proyecto financiado por el gobierno investiga el uso de videntes para entrar en los sueños de las personas, con ayuda de algún tipo de tecnología. Cuando un sujeto muere mientras duerme de un ataque al corazón, Alex Gardner sospecha que otro de los videntes está matando a la gente en los sueños de alguna manera, lo que provoca sus muertes en la vida real. Debe encontrar la forma de detener el abuso del poder de entrar en los sueños.",Aventura,id_3
Fantastic Mr. Fox,"El Fantástico Sr. Zorro, aburrido de su vida, planea un atraco contra los tres granjeros del pueblo. Los granjeros, cansados ​​de compartir sus gallinas con el astuto zorro, buscan vengarse de él y de su familia.",Aventura,id_4
Kingsglaive: Final Fantasy XV,"El mágico reino de Lucis alberga el último Cristal que queda en el mundo, y el amenazante imperio de Niflheim está decidido a robarlo. El rey Regis de Lucis comanda una fuerza de élite llamada Kingsglaive. Empuñando la magia de su rey, luchan para proteger Lucis. Ante el abrumador poderío militar del imperio, el rey Regis se enfrenta a un ultimátum imposible: casar a su hijo, el príncipe Noctis, con la princesa Lunafreya de Tenebrae, prisionera de Niflheim, y entregar sus tierras al dominio niflheim. Aunque el rey cede, queda claro que el imperio no se detendrá ante nada para lograr sus malvados objetivos, y solo los Kingsglaive se interponen entre ellos y la dominación mundial.",Animación,id_5
Hello World,"Año 2027. La ciudad de Kioto ha experimentado un desarrollo extraordinario. En ella viven Naomi Katagaki, un chico introvertido, y Ruri Ichigyō, una chica de carácter frío. Ambos comparten la pasión por la lectura. A pesar de tener intereses similares, Naomi teme acercarse a Ruri debido a su carácter reservado. Un día, mientras Naomi pasea, una aurora carmesí ilumina el cielo por un instante. Poco después, ve un cuervo de tres patas y a un hombre misterioso que resulta ser Naomi del futuro, 10 años después. Naomi le explica que ha venido para cambiar un trágico suceso que le ocurre a Ruri poco después de que empiecen a salir. Naomi sigue las instrucciones de su yo del futuro y comienza a acercarse a Ruri, decidido a salvarla. Con la ayuda de su yo del futuro, Naomi empieza a prepararse para salvarla. ¿Podrá cambiar el futuro?",Ciencia ficción,id_6
Crimson Peak,"Tras una tragedia familiar, una aspirante a escritora se debate entre el amor por su amiga de la infancia y la tentación de un misterioso desconocido. Intentando escapar de los fantasmas de su pasado, se ve arrastrada a una casa que respira, sangra… y recuerda.",Horror,id_7
Stasis,"Tras una noche de fiesta, abandonada por sus amigos, Ava despierta y regresa sigilosamente a casa, solo para descubrir que ya está a salvo en la cama. Pero no es Ava; es alguien idéntico a ella. Un fugitivo viajero del tiempo ha robado el cuerpo, la identidad y la vida de Ava. Y lo que es más, no está sola. Hay otros, ocultos en el pasado, viviendo secretamente entre nosotros, conspirando para alterar el futuro. Sin su cuerpo, Ava es un fantasma virtual, silenciosa e invisible para el mundo. Y, hasta donde ella sabe, es la única que puede detenerlos y restaurar el curso natural de la historia.",Aventura,id_8
Adventureland,"En el verano de 1987, un recién graduado universitario acepta un trabajo sin futuro en el parque de atracciones local, solo para descubrir que es la manera perfecta de prepararse para el mundo real.",Comedia,id_9
Viva l'Italia,"La historia de un destacado político que, tras una grave enfermedad, revela repentinamente ""toda la verdad"" y, por consiguiente, trastorna la vida de quienes le rodean…",Comedia,id_10
