"id","Título","Reseña","genero","ave_sentiment","anger","anticipation","disgust","fear","joy","sadness","surprise","trust"
"id_1","Sand Castle","Ambientada durante la ocupación de Irak, la historia sigue a un pelotón de soldados estadounidenses que intenta proteger una pequeña aldea.","Guerra",0.218217890235992,0,0,0,0,0,0,0,0
"id_10","Viva l'Italia","La historia de un destacado político que, tras una grave enfermedad, revela repentinamente ""toda la verdad"" y, por consiguiente, trastorna la vida de quienes le rodean…","Comedia",-1.1766968108291,2,0,1,2,0,2,0,1
"id_100","Braven","Un leñador defiende a su familia de un grupo de peligrosos narcotraficantes.","Drama",0,0,0,0,0,0,0,0,0
"id_101","Madame","Anne y Bob, una pareja estadounidense acomodada, acaban de mudarse a una hermosa mansión en el romántico París. Para impresionar a sus sofisticados amigos, deciden organizar una suntuosa cena, pero deben disfrazar a su criada de noble para equilibrar el número de invitados. Cuando la criada se fuga con un adinerado invitado, Anne debe perseguirla por todo París para frustrar este inesperado y alegre romance.","Drama",0.790102499180719,1,2,1,1,3,1,3,2
"id_102","Straight from the Barrio","Un joven narcotraficante se enamora mientras se enfrenta a problemas internos en su banda y recibe una oferta para convertirse en cantante de reguetón.","Drama",0,0,1,0,0,1,0,1,0
"id_103","Careful What You Wish For","Un hombre se ve envuelto en una situación mucho más complicada de lo que esperaba tras iniciar una aventura con la esposa de un banquero de inversiones. Pronto, una muerte sospechosa y una importante póliza de seguro de vida lo involucran en un escándalo.","Drama",-0.609769205822287,1,1,1,1,1,1,1,3
"id_104","Mindhunters","Los alumnos del programa de elaboración de perfiles psicológicos del FBI deben poner en práctica su formación cuando descubren a un asesino entre ellos.","Misterio",-0.408248290463863,1,0,1,1,0,1,1,0
"id_105","Uncharted","""Uncharted"" narra la historia de un equipo de filmación de documentales que sufre un accidente aéreo en una isla, cuando buscaban un animal raro, un jaguar, que se cree que habita en la selva. Una serie de circunstancias desafortunadas surgen cuando su avión privado se estrella en una isla remota.","Horror",-0.592997170285018,0,1,0,2,1,1,1,3
"id_106","Stuntman","Un veterano especialista en acrobacias se propone completar el salto que superó a su ídolo Evel Knievel: cruzar el cañón del río Snake en una aeronave propulsada por cohetes.","Documental",0,1,1,0,1,1,1,0,2
"id_107","Wrong Turn","Chris choca contra un coche lleno de otros jóvenes, y el grupo de automovilistas varados pronto se pierde en los bosques de Virginia Occidental, donde son perseguidos por tres montañeses caníbales que están horriblemente desfigurados por generaciones de endogamia.","Horror",-0.960768922830523,0,0,1,0,0,0,0,0
"id_108","The Condemned 2","Un antiguo cazarrecompensas se ve obligado a huir como parte de una versión renovada del torneo Condemned, en el que los convictos se ven forzados a luchar entre sí a muerte en un juego que se transmite al público.","Acción",-0.160128153805087,1,2,1,2,0,2,2,0
