tweet,id,ideologia
🔴 AHORA | Incendio entre las intersecciones de Av. Argentina y Maipú en el sector centro alto de,id_1,Centro
No sabemos la justificación para nombrar en este cargo tan sensible para @MinMujeryEG a alguien que no reúne las competencias y que en el pasado promovió el sexismo en los medios de comunicación. Un mes de @macasante y un mes de desatinos 🤦🏽‍♀️,id_2,Izquierda
@Cayita_Rioseco Gracias Clau,id_3,Centroderecha
"Yerko ya no me hace reír. Se puso misógino, homófobo y hasta obediente al poder #vertigo @rubionatural @diana_bolocco @malreportero",id_4,Izquierda
@andres_vr76 @sebastianverav Les comparto este reportaje de la BBC. Como pa q no digan luego q es cuento de uno. http://t.co/zEaiq8gx,id_5,Izquierda
"@alirocaimapo y yo con poco más de 7000 ptos en fps y cargas fliares inscritas, no recibiré bono de 40 Lucas... Mal pelao el chancho!!",id_6,Derecha
RN llora. Menos mal que eran contrarios al cuoteo. https://t.co/f7kDMzkXWK,id_7,Izquierda
EN LA REVISTA RT PAGINA 12 RECIBIENDO EL PREMIO REGIONAL DE LA JUVENTUD. ME LA ACABAN DE DAR :) http://t.co/C3CkrmDn,id_9,Centro
@FanEliCataMaite jajajajja está muy lejos Honduras... No conozco la verdad...,id_10,Izquierda
@Artenorte @_Escaramuza Gran idea!!,id_11,Centro
"Que otra cosa aprendimos de la serie Narcos versión elección PS de Chile? Que nunca jamás, bajo ninguna circunstancia se debiese introducir el voto electrónico en nuestro país.",id_12,Derecha
"@patriciosainzr Haría un alcance, quedan agradecidos de SU congresista, pero después de la reu con el serviu siguen odiando al congreso como ente",id_13,Izquierda
"@UldaOmar imperdibles: cochiguaz, pisco y monte grande. Bueno y vicuña... Son mis lugares favoritos del mundo.",id_14,Izquierda
Dialogando con jóvenes de centro de estudios Simón .,id_15,Centro
"#FirmaPorQuintoRetiro

Y si miles de personas piden su QuintoRetiro? 
Los escuchará ⁦@gabrielboric⁩?

Firma y difunde usando el hashtag
#FirmaPorQuintoRetiro
#pamelajiles 👵🏼❤️
👇🏽

Petición · Aprobación Quinto Retiro AFP · https://t.co/NqdF5a9Mef https://t.co/VlYvtoEybU",id_16,Izquierda
Critican indefiniciones en proyecto de La Moneda para reformar la Constitución https://t.co/xbe71naIJG @elcaulle @elranco @eldesinfor https://t.co/UOthZzSRjm,id_17,Centroderecha
"""Yo vibro con ustedes... yo vibro con el fútbol"" emociona ver las imágenes cuando CHILE sale Campeón de América! https://t.co/ySkFV8SBe3",id_18,Izquierda
https://t.co/IszulQnWIT,id_19,Izquierda
@flodelamaza Que fome :/,id_22,Derecha
"@Marcela24543522 También escuchamos a la directora,  profesores y representantes del sostenedor (municipio)",id_23,Izquierda
"Atención con movimientos en la élite para aprobar el TPP-11 en el primer semestre. #NoAlTPP11 
@Felixecologista @viax @adnradiochile @KevinFelgueras @KarolCariola @GiorgioJackson @MiguelCrispiS @diputadagirardi @lagosweber @RicardoLagos @HeraldoMunoz @natapiergentili @MaiteOrsini https://t.co/supXQnf3vK",id_24,Izquierda
NA,id_25,Derecha
"""@vita_melodies: @ANDRESCELISM le envié un mail :""/ Hola, leído y estamos viendo como poder sumarnos. En todo caso x favor llama al 92510080",id_26,Centroderecha
@RADIONOSTALGICA para bajar al centro tb hay taco !!,id_27,Centroderecha
@rflorestoro @Yasgray @matrivade Falta de cultura no mas si piensa así.,id_28,Derecha
@chantalamai jajaj la red es sub 40,id_29,Izquierda
5 Tweets retwitteados y un total de 5 RTs [últimas 24h],id_30,Centroderecha
@Pablo_Maltes https://t.co/R99q3kkamJ,id_31,Izquierda
